RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022
250,389,Maui County,county,HI,HI,"Kahului-Wailuku-Lahaina, HI",15,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2993.150294,3081.594986,3023.294899,3082.541708,3166.24081,3164.607987,3192.122577,3113.573418,3283.852949,3339.337445,3532.383872,3492.143636,3528.72959,3512.164757,3542.170318,3566.104283,3546.612596,3571.063951,3593.818478,3653.777778
860,390,Beaver County,county,PA,PA,"Pittsburgh, PA",42,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,974.4338686,994.4089259,1000.81672,1007.284431,,1054.476453,1077.611263,1082.647155,1083.384107,1071.633787,1075.598048,1061.325196,1055.91516,1050.209954,1057.679938,1072.099478,1088.901436,1077.38727,1067.710416,1053.344897,1072.430123,1075.708874
3074,391,Washington County,county,UT,UT,"St. George, UT",49,53,1011.46716,1011.187101,1034.061098,1040.170954,1045.05702,1033.903894,1032.978695,1027.617586,1048.129183,1062.11126,1081.563274,1082.15594,1084.003405,1079.235537,1100.658945,1103.920361,1120.052204,1108.230405,1114.15586,1114.957261,1121.791014,1146.004674,1163.713124,1169.62694,1156.397137,1155.148698,1169.325866,1184.138375,1189.326962,1192.863909,1196.65381,1197.485294,1205.275497,1218.973594,1240.37421,1246.533663,1237.196571,1227.474097,1241.346403,1252.787231,1266.992069,1273.627555,1266.434503,1265.121229,1269.272717,1290.3658,1301.515844,1317.987205,1307.731513,1306.688412,1303.26079,1311.700549,1313.614237,1307.574273,1306.528403,1302.481357,1311.469757,1337.146045,1349.085044,1350.364167,1324.352888,1319.94007,1320.485695,1330.706885,1344.797091,1364.415639,1383.791468,1405.33129,1412.307495,1445.176653,1469.502713,1508.417073,1504.239977,1515.087612,1515.073419,1538.37865,1551.566652,1585.150451,1598.582976,1610.103069,1619.184586,1642.927429,1683.066436,1677.37565,1716.809733,1716.162241,1739.648044,1719.482449,1731.157976,1744.416631,1765.438415,1750.628571
1133,392,Kenton County,county,KY,KY,"Cincinnati, OH-KY-IN",21,117,,,,,,,,,,,,,,,,1016.086447,1015.064821,993.6183615,1007.1541,1019.373459,1024.242454,1031.016457,1021.09639,1027.778965,1026.959505,1032.624652,1025.378885,1025.111882,1031.384919,1042.151202,1055.422087,1061.134834,1069.576131,1074.493453,1062.185289,1052.951553,1047.958721,1058.95784,1051.991458,1053.673785,1057.844437,1065.341879,1073.064237,1080.85569,1093.69497,1102.901297,1091.702215,1087.119417,1094.311212,1111.361223,1124.871698,1129.788583,1136.468399,1143.115465,1155.889563,1162.876292,1165.742184,1156.931734,1165.19942,1166.93821,1176.713445,1182.771628,1182.421387,1193.888594,1189.433274,1199.713675,1205.102724,1221.260039,1241.260133,1256.682562,1257.306901,1263.892412,1255.907263,1267.652722,1267.413978,1284.183317,1286.502486,1295.938034,1303.445545,1318.723138,1335.390906,1355.381002,1365.730625,1377.989732,1387.143554,1415.171283,1413.359351,1422.619323,1422.489972,1444.689296,1468.421839,1493.189906
2242,393,Davidson County,county,NC,NC,"Winston-Salem, NC",37,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1226.374645,1245.806946,1262.571596,1281.3104,1267.371243,1258.540391,1267.771798,1303.71832,1335.322641,1360.962998,1389.500431,1392.971044,1410.559055,1396.723492,1403.206861,1423.416478,1461.842426,1494.197386,1475.584733,1466.911796,1475.055163,1505.214031,1540.156484,1578.608951,1603.481481
2881,394,Wyandotte County,county,KS,KS,"Kansas City, MO-KS",20,209,772.024688,773.0922556,742.3405589,731.7534511,727.1750205,757.6753087,760.0889197,773.4914684,779.9099517,780.8650392,784.8279836,800.2953842,813.9606102,806.1123163,784.6987233,771.4024673,767.9409567,803.8755551,800.8190398,811.502835,806.2957381,827.8340986,829.9546647,842.2568021,832.9720912,834.7192951,805.5930705,798.7387217,796.8297497,829.7094624,825.9525082,830.2790953,831.2361474,837.9036802,835.7229987,850.7519509,859.044779,863.2382708,851.3294222,848.7488702,835.6229517,851.2263993,849.9211772,871.6514579,878.3454866,876.1123877,872.338723,879.9501823,895.1996995,897.5594906,892.6483677,887.9071945,883.1533896,892.4027163,889.3959984,901.7515202,911.062576,919.4730797,913.4799324,933.643545,948.1014165,956.3884486,950.0430179,941.884291,949.7112819,943.780638,945.6701977,942.3754639,962.3942389,976.1937927,997.1966904,997.1771436,997.8319046,988.1757276,1008.938309,1016.404197,1034.740555,1037.829223,1032.031306,1033.423199,1039.272458,1081.940527,1109.766143,1127.083785,1117.610785,1110.166173,1116.633451,1122.942664,1130.131088,1131.185937,1148.537053,1159.239744
202,395,Kent County,county,RI,RI,"Providence-Warwick, RI-MA",44,3,1172.073793,1203.581614,1202.792707,1209.334081,1195.24771,1205.875723,1219.820519,1205.176076,1204.765928,1194.378359,1227.434606,1224.448631,1235.2322,1238.401101,1244.913166,1246.228505,1251.516906,1262.985997,1288.480028,1294.467809,1312.415208,1301.822333,1312.430966,1273.937159,1283.765611,1287.171581,1310.736632,1299.053247,1293.812716,1303.152119,1322.994116,1328.025359,1323.093523,1316.206208,1332.482268,1337.152809,1342.951646,1351.262097,1361.9184,1360.062262,1352.816083,1362.698596,1385.01289,1379.432766,1385.512471,1376.972338,1397.132929,1392.959544,1405.865257,1420.966619,1429.917372,1420.48044,1425.101664,1436.656212,1466.641649,1462.785699,1459.928232,1448.172949,1459.103668,1441.331073,1454.516415,1456.875496,1481.348495,1476.451501,1482.409753,1501.977877,1533.194993,1548.943359,1577.223406,1572.093866,1561.687606,1526.951785,1549.972329,1595.62572,1692.933448,1746.065759,1800.835255,1805.173245,1820.169815,1849.333979,1855.221045,1888.234643,1874.503542,1892.850883,1908.885278,1954.788643,2010.798258,2035.666762,2080.732099,2087.206837,2068.939898,2024.501166
2722,396,Hendricks County,county,IN,IN,"Indianapolis-Carmel-Anderson, IN",18,63,1181.012864,1188.255546,1199.381894,1202.271133,1204.525647,1200.748851,1201.303793,1196.12913,1211.74701,1219.458844,1250.819878,1242.911568,1246.366969,1228.914015,1235.106206,1231.194742,1233.79576,1235.261257,1236.040251,1213.845159,1214.036517,1207.83811,1208.999964,1208.23603,1223.608728,1240.467815,1254.525015,1249.832658,1261.746322,1261.836193,1273.574105,1258.291334,1256.804837,1253.541387,1257.623468,1265.755984,1271.39316,1288.550061,1295.01493,1295.609854,1298.075636,1296.021318,1302.866241,1295.827476,1304.933457,1285.700577,1287.221875,1279.019323,1301.58967,1311.205662,1331.906738,1345.75343,1354.264428,1355.131886,1356.223674,1349.949529,1360.7,1360.27387,1367.19901,1364.14818,1365.680779,1366.132052,1365.428029,1368.698746,1380.967329,1406.977901,1430.1809,1449.451625,1439.742097,1456.4544,1457.493837,1472.248743,1482.58791,1493.788195,1520.034041,1558.019216,1613.538305,1645.623324,1645.831027,1637.842523,1654.589144,1671.585675,1684.669882,1686.593784,1682.830908,1697.718598,1703.882637,1717.699441,1731.998348,1743.482392,1791.732795,1808.722774
2117,397,Alamance County,county,NC,NC,"Burlington, NC",37,1,,,,,,,,,,692.4640441,680.424979,664.2501766,662.2668313,683.4963623,696.7158071,699.4436465,694.7478022,701.3565948,704.3304508,720.6491781,720.5434392,689.2480791,681.4637399,672.4923249,714.1436799,733.9756739,758.318055,762.391741,763.7042468,761.189061,763.1602849,776.7639433,782.0864052,800.5837157,789.1636468,764.4509813,744.0437631,764.8573635,797.4303364,805.6375505,799.3175058,793.8806576,818.2461309,838.1614542,844.682699,836.9191776,833.129757,812.6011912,811.5905811,824.8464437,855.4191165,862.0660301,865.0274468,872.1347159,888.60283,894.6494002,884.4609137,877.8171896,878.784916,871.8116869,868.1465705,883.9912447,897.3817796,920.6531235,929.1097567,938.6689844,936.4630195,950.6895227,947.3024269,972.6791935,977.3656787,977.9367787,983.3562418,1002.702324,1026.952954,1032.045084,1057.618744,1074.339165,1090.392799,1087.805819,1103.350872,1128.071663,1139.532991,1149.987572,1142.945574,1171.507113,1179.482289,1201.466894,1224.289337,1251.483412,1271.376096,1270.578283
2800,398,Middlesex County,county,CT,CT,"Hartford-East Hartford-Middletown, CT",9,7,1182.255675,1190.192322,1192.609417,1197.296204,1207.702196,1206.956856,1221.632919,1207.141377,1216.027103,1212.963701,1224.899569,1229.475381,1231.844634,1235.178141,1218.216371,1218.977944,1225.973916,1244.54197,1243.223555,1239.12559,1240.640075,1233.718632,1237.032352,1230.004425,1235.888052,1241.531257,1251.243841,1259.359233,1263.327169,1267.541152,1251.977651,1247.554806,1233.949603,1240.997864,1249.968936,1263.090493,1282.465716,1275.122943,1280.516603,1274.82832,1286.718516,1291.900644,1297.634548,1289.180745,1288.164914,1274.683958,1287.285044,1287.601118,1308.751365,1306.489866,1324.872299,1329.007692,1336.913698,1332.342857,1325.117797,1331.08507,1335.370227,1343.17259,1334.855376,1335.946901,1344.284674,1347.371623,1359.264945,1363.211449,1378.703315,1395.082765,1394.901091,1407.342698,1407.82944,1430.198382,1437.962396,1434.027174,1442.05567,1444.153982,1470.107983,1485.241028,1505.41161,1504.586022,1518.495056,1544.39747,1561.456405,1572.523348,1557.940832,1569.061614,1618.509387,1658.777697,1682.732599,1653.832776,1662.640339,1676.997411,1684.899994,1705.134615
