county_number,County,region,location1,location2,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,% change 2010-2019
26,Mono,4,Inland,North,14202.00,14206.00,14257.0,14422.0,14331.0,14067.0,14134.0,14077.0,14273.0,14354.0,14403.0,14444.0,0.012946552201606204
27,Monterey,5,Coastal,North,415057.00,415059.00,416373.0,420456.0,424788.0,426712.0,428475.0,430552.0,433953.0,434534.0,433950.0,434061.0,0.0407500328294871
28,Napa,2,Coastal,North,136484.00,136535.00,136759.0,137691.0,138538.0,139580.0,140405.0,140862.0,140840.0,139878.0,138789.0,137744.0,0.007150946683703101
29,Nevada,1,Inland,North,98764.00,98747.00,98790.0,98701.0,98137.0,97938.0,98572.0,98676.0,98913.0,99367.0,99508.0,99755.0,0.009673700566387649
30,Orange,9,Coastal,Southern,3010232.00,3008989.00,3015171.0,3049271.0,3078068.0,3104950.0,3126537.0,3149280.0,3164986.0,3174289.0,3175973.0,3175692.0,0.05054677846592176
31,Placer,1,Inland,North,348432.00,348502.00,350021.0,356328.0,360263.0,365398.0,369217.0,372841.0,378943.0,385115.0,392330.0,398329.0,0.12127663313492114
32,Plumas,1,Inland,North,20007.00,20007.00,19914.0,19719.0,19377.0,18895.0,18622.0,18427.0,18665.0,18660.0,18741.0,18807.0,-0.058861062370394
33,Riverside,7,Inland,Southern,2189641.00,2189765.00,2201576.0,2234070.0,2261204.0,2286755.0,2316162.0,2345816.0,2380081.0,2414964.0,2445789.0,2470546.0,0.10887067069384662
34,Sacramento,1,Inland,North,1418788.00,1418735.00,1421383.0,1433730.0,1444852.0,1457341.0,1474917.0,1493674.0,1510987.0,1527301.0,1538746.0,1552058.0,0.08419466282832214
35,San Benito,5,Coastal,North,55269.00,55265.00,55516.0,55977.0,56599.0,57239.0,57825.0,58216.0,59225.0,60164.0,61467.0,62808.0,0.11609985989045982
36,San Bernardino,7,Inland,Southern,2035210.00,2035183.00,2040848.0,2060827.0,2073512.0,2082738.0,2099181.0,2115411.0,2131960.0,2150945.0,2166753.0,2180085.0,0.06386769323214461
37,San Diego,10,Coastal,Southern,3095313.00,3095349.00,3103212.0,3137156.0,3174335.0,3209768.0,3248877.0,3280850.0,3306089.0,3321237.0,3333861.0,3338330.0,0.07042982569128876
38,San Francisco,3,Coastal,North,805235.00,805184.00,805505.0,815650.0,828876.0,839572.0,850750.0,863010.0,871512.0,878040.0,880696.0,881549.0,0.08626179599772672
39,San Joaquin,4,Inland,North,685306.00,685306.00,687127.0,694354.0,699593.0,702046.0,711579.0,722271.0,732809.0,743296.0,752491.0,762148.0,0.09843363756120858
40,San Luis Obispo,5,Coastal,Central,269637.00,269597.00,269802.0,271058.0,274160.0,275696.0,278227.0,280077.0,281803.0,282481.0,283354.0,283111.0,0.047009830066652304
41,San Mateo,3,Coastal,North,718451.00,718517.00,719699.0,728344.0,739224.0,748661.0,757204.0,765055.0,767906.0,768901.0,768681.0,766573.0,0.06114747062575906
42,Santa Barbara,5,Coastal,Southern,423895.00,423947.00,424231.0,425453.0,429699.0,434601.0,439045.0,442229.0,444340.0,445298.0,445780.0,446499.0,0.049872452121953244
43,Santa Clara,3,Coastal,North,1781642.00,1781686.00,1786040.0,1812054.0,1837853.0,1866425.0,1891753.0,1916285.0,1928368.0,1932510.0,1932337.0,1927852.0,0.07355958859912483
44,Santa Cruz,5,Coastal,Central,262382.00,262350.00,263147.0,264858.0,266340.0,268816.0,270861.0,273503.0,274396.0,274856.0,273841.0,273213.0,0.03684304919604851
45,Shasta,1,Inland,North,177223.00,177221.00,177274.0,177588.0,177875.0,178397.0,178844.0,178314.0,178571.0,179384.0,179709.0,180080.0,0.015581963571745891
46,Sierra,1,Inland,North,3240.00,3239.00,3220.0,3098.0,3067.0,3028.0,2972.0,2985.0,2951.0,3002.0,2997.0,3005.0,-0.07154742096505824
47,Siskiyou,1,Inland,North,44900.00,44900.00,44938.0,44615.0,44079.0,43532.0,43338.0,43254.0,43376.0,43622.0,43550.0,43539.0,-0.03213211144031788
48,Solano,3,Coastal,North,413344.00,413343.00,413967.0,416342.0,419674.0,423659.0,429006.0,433409.0,438858.0,443511.0,445725.0,447643.0,0.07522959143781988
49,Sonoma,2,Coastal,North,483878.00,483861.00,484755.0,487421.0,489993.0,494073.0,498560.0,500863.0,502547.0,502469.0,498643.0,494336.0,0.019381554246504402
50,Stanislaus,4,Inland,North,514453.00,514450.00,515145.0,517560.0,520424.0,523451.0,528015.0,533211.0,539255.0,544717.0,548126.0,550660.0,0.06449533287327934
51,Sutter,1,Inland,North,94737.00,94756.00,94751.0,94482.0,94189.0,94507.0,94778.0,95282.0,95742.0,96204.0,96348.0,96971.0,0.02289344236936816
52,Tehama,1,Inland,North,63463.00,63440.00,63559.0,63331.0,63212.0,62875.0,62801.0,63158.0,63453.0,63847.0,64018.0,65084.0,0.023431258066498678
53,Trinity,2,Coastal,North,13786.00,13784.00,13755.0,13685.0,13489.0,13427.0,13128.0,13094.0,12828.0,12726.0,12567.0,12285.0,-0.11965811965811966
54,Tulare,6,Inland,Central,442179.00,442182.00,442969.0,446784.0,449779.0,452460.0,455138.0,457161.0,459235.0,462308.0,464589.0,466195.0,0.04982035414365234
55,Tuolumne,4,Inland,North,55365.00,55368.00,55190.0,54830.0,54221.0,53997.0,53851.0,53615.0,53770.0,53976.0,54387.0,54478.0,-0.013069495943316568
56,Ventura,5,Coastal,Southern,823318.00,823398.00,825097.0,830099.0,833516.0,838136.0,842297.0,845802.0,847323.0,849044.0,848142.0,846006.0,0.02471495474027371
57,Yolo,1,Inland,North,200849.00,200855.00,201073.0,201954.0,204576.0,206292.0,208398.0,212037.0,215627.0,218477.0,220118.0,220500.0,0.08810430839002267
58,Yuba,1,Inland,North,72155.00,72142.00,72348.0,72489.0,72774.0,73090.0,73533.0,74045.0,74952.0,76578.0,77557.0,78668.0,0.08033762139624752
