table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,
"Annual Estimates of the Resident Population for Counties in California: April 1, 2010 to July 1, 2019",,,,,,,,,,,,
Geographic Area,1-Apr-10,,Population Estimate (as of July 1),,,,,,,,,
,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Santa Cruz,262382.00,262350.00,263147.00,264858.00,266340.00,268816.00,270861.00,273503.00,274396.00,274856.00,273841.00,273213.00
Shasta,177223.00,177221.00,177274.00,177588.00,177875.00,178397.00,178844.00,178314.00,178571.00,179384.00,179709.00,180080.00
Sierra,3240.00,3239.00,3220.00,3098.00,3067.00,3028.00,2972.00,2985.00,2951.00,3002.00,2997.00,3005.00
Siskiyou,44900.00,44900.00,44938.00,44615.00,44079.00,43532.00,43338.00,43254.00,43376.00,43622.00,43550.00,43539.00
Solano,413344.00,413343.00,413967.00,416342.00,419674.00,423659.00,429006.00,433409.00,438858.00,443511.00,445725.00,447643.00
Sonoma,483878.00,483861.00,484755.00,487421.00,489993.00,494073.00,498560.00,500863.00,502547.00,502469.00,498643.00,494336.00
Stanislaus,514453.00,514450.00,515145.00,517560.00,520424.00,523451.00,528015.00,533211.00,539255.00,544717.00,548126.00,550660.00
Sutter,94737.00,94756.00,94751.00,94482.00,94189.00,94507.00,94778.00,95282.00,95742.00,96204.00,96348.00,96971.00
Tehama,63463.00,63440.00,63559.00,63331.00,63212.00,62875.00,62801.00,63158.00,63453.00,63847.00,64018.00,65084.00
Trinity,13786.00,13784.00,13755.00,13685.00,13489.00,13427.00,13128.00,13094.00,12828.00,12726.00,12567.00,12285.00
Tulare,442179.00,442182.00,442969.00,446784.00,449779.00,452460.00,455138.00,457161.00,459235.00,462308.00,464589.00,466195.00
Tuolumne,55365.00,55368.00,55190.00,54830.00,54221.00,53997.00,53851.00,53615.00,53770.00,53976.00,54387.00,54478.00
Ventura,823318.00,823398.00,825097.00,830099.00,833516.00,838136.00,842297.00,845802.00,847323.00,849044.00,848142.00,846006.00
Yolo,200849.00,200855.00,201073.00,201954.00,204576.00,206292.00,208398.00,212037.00,215627.00,218477.00,220118.00,220500.00
Yuba,72155.00,72142.00,72348.00,72489.00,72774.00,73090.00,73533.00,74045.00,74952.00,76578.00,77557.00,78668.00
"Note: The estimates are based on the 2010 Census and reflect changes to the April 1, 2010 population due to the Count Question Resolution program and geographic program revisions. All geographic boundaries for the 2019 population estimates are as of January 1, 2019. For population estimates methodology statements, see http://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html.",,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,
"Annual Estimates of the Resident Population for Counties in California: April 1, 2010 to July 1, 2019 (CO-EST2019-ANNRES-06)",,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,
Release Date: March 2020,,,,,,,,,,,,
